"iso_code";"country";"region";"income_status";"education_expenditure";"youth_unemployment_rate";"net_migration_rate"
"AGO";"Angola";"Africa";"Lower-middle-income countries";3,4;39,4;-0,2
"PRY";"Paraguay";"South America";"Upper-middle-income countries";3,4;14,5;-0,1
"TZA";"Tanzania";"Africa";"Lower-middle-income countries";3,4;3,9;-0,4
"CIV";"Cote d'Ivoire";"Africa";"Lower-middle-income countries";3,3;5,5;1,2
"LCA";"Saint Lucia";"North America";"Upper-middle-income countries";3,3;46,2;-1,7
"AND";"Andorra";"Europe";"High-income countries";3,2;.;0
"GRD";"Grenada";"North America";"Upper-middle-income countries";3,2;.;-2,6
"GTM";"Guatemala";"North America";"Upper-middle-income countries";3,2;5;-1,7
"JPN";"Japan";"Asia";"High-income countries";3,2;3,6;0
"PAN";"Panama";"North America";"High-income countries";3,2;10,2;-0,1
"CMR";"Cameroon";"Africa";"Lower-middle-income countries";3,1;6,3;-0,3
"JOR";"Jordan";"Asia";"Lower-middle-income countries";3,1;35,6;-11,3
"NAM";"Namibia";"Africa";"Lower-middle-income countries";3,1;38;0
"ROU";"Romania";"Europe";"High-income countries";3,1;16,2;-0,2
"RWA";"Rwanda";"Africa";"Low-income countries";3,1;20,6;-3,3
"TKM";"Turkmenistan";"Asia";"Upper-middle-income countries";3,1;.;-1,7
"BEN";"Benin";"Africa";"Lower-middle-income countries";2,9;5,6;0,3
"LAO";"Laos";"Asia";"Lower-middle-income countries";2,9;18,2;-1
"PAK";"Pakistan";"Asia";"Lower-middle-income countries";2,9;7,8;-0,9
"SGP";"Singapore";"Asia";"High-income countries";2,9;9,1;11,8
"TCA";"Turks and Caicos Islands";"North America";"High-income countries";2,9;.;8,9
"HTI";"Haiti";"North America";"Lower-middle-income countries";2,8;.;-1,9
"MDG";"Madagascar";"Africa";"Low-income countries";2,8;1;0
"ARM";"Armenia";"Asia";"Upper-middle-income countries";2,7;36,3;-5,5
"GAB";"Gabon";"Africa";"Upper-middle-income countries";2,7;35,7;3,9
"MAC";"Macau";"Asia";"High-income countries";2,7;5,3;3,3
"QAT";"Qatar";"Asia";"High-income countries";2,7;0,4;6,5
"KAZ";"Kazakhstan";"Asia";"Upper-middle-income countries";2,6;3,8;0,4
"LBR";"Liberia";"Africa";"Low-income countries";2,6;2,3;-2,9
"LIE";"Liechtenstein";"Europe";"High-income countries";2,6;.;4,9
"KNA";"Saint Kitts and Nevis";"North America";"High-income countries";2,6;.;1,2
"AZE";"Azerbaijan";"Asia";"Upper-middle-income countries";2,5;13,4;0
"VGB";"British Virgin Islands";"North America";"High-income countries";2,5;.;15,5
"TCD";"Chad";"Africa";"Low-income countries";2,5;.;-0,1
"COM";"Comoros";"Africa";"Lower-middle-income countries";2,5;19,5;-2,3
"LBN";"Lebanon";"Asia";"Lower-middle-income countries";2,5;.;-88,7
"GMB";"Gambia, The";"Africa";"Low-income countries";2,4;13,1;-1,6
